CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-g	CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-r	CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-i	CONFIGURATION_14-PLANE_1-OBJECT_2-magnitude-z	WEIGHT
23.50828934	22.43990326	22.14796829	21.93187523	1.0
25.34193993	23.80651665	22.02175903	21.40740204	1.0
24.85472488	23.50301552	22.39213181	21.94111252	1.0
24.81276512	23.81254959	22.80597115	22.28326225	1.0
23.81299591	22.44568825	21.45995903	21.02099228	1.0
19.63568306	18.9374485	18.66564751	18.51423836	1.0
23.12151718	21.55084801	20.40403175	19.96347618	1.0
22.29626656	20.8731842	19.7315712	19.24262428	1.0
20.9725399	20.45642471	20.30500412	20.21621704	1.0
19.68507957	18.24650764	17.47411919	17.12956047	1.0
19.12842369	17.76868629	17.17614937	16.90232468	1.0
22.70800209	22.27134895	22.13960648	22.08545303	1.0
28.12751007	25.46685028	22.04690361	20.58588982	1.0
20.38319969	18.90484428	17.64852333	17.10775566	1.0
20.85179138	21.10542488	21.36967278	21.62763214	1.0
22.56842995	21.01282501	19.63036728	19.05091667	1.0
24.69055367	23.19816589	22.79179573	22.58034134	1.0
22.03050423	20.83352661	20.0145092	19.62446594	1.0
21.16678238	20.27535057	19.99107552	19.81423759	1.0
22.25811958	20.68734741	19.47148514	18.96019554	1.0
25.64034462	24.14519119	22.8028717	22.16889191	1.0
21.71154022	20.20756531	18.76337242	18.13140488	1.0
17.47085381	17.03684235	16.90804672	16.85708237	1.0
17.27497292	17.01503181	16.97853279	16.97959137	1.0
25.20540619	23.1292305	21.64887619	20.97937965	1.0
19.56820869	18.8173008	18.57465172	18.44976044	1.0
22.52886581	21.79973984	21.26361656	20.58658981	1.0
21.98239136	20.5543232	19.42134285	18.93061256	1.0
23.33597946	21.85400772	21.16448212	20.85752296	1.0
24.77599716	23.40513611	22.15357971	21.64782906	1.0
21.58211517	21.19498062	21.09466362	21.04318428	1.0
21.42058945	19.99432564	19.16043854	18.78106689	1.0
18.55168533	18.16876793	18.05751038	18.00645638	1.0
22.71998024	21.31651306	20.2810936	19.84054184	1.0
