CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e1	CONFIGURATION_8-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-e2	CONFIGURATION_8-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-g	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-r	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-z	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-R_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-g	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-r	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-i	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-n_sersic-z	CONFIGURATION_8-PLANE_1-OBJECT_3-REDSHIFT	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-e1	CONFIGURATION_8-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-e2	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-g	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-r	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-i	CONFIGURATION_8-PLANE_1-OBJECT_4-magnitude-z	WEIGHT
22.29939461	20.62454605	19.9223671	19.54170418	7.5813951293052915	5.16926504397886	4.520259481503881	4.520259481503881	1.37990838685	3.50881457364	3.7356257894200002	3.7356257894200002	-0.07787031	-0.07192006	0.49576285	22.12457848	20.28430939	19.53662682	19.10883904	1.0474678323305302	1.1888313694684	1.05342721548818	1.05342721548818	0.6313281914600001	1.29241724989	1.4047704317200003	1.4047704317200003	0.49576285	0.06445338	-0.12926992	25.56138039	24.78565598	22.63923454	21.34354401	1.0
22.11805344	20.34641647	19.69861794	19.34391975	0.9242786256319202	1.5905691822788002	1.31985480789543	1.31985480789543	1.04519898832	1.50533687405	1.4795070549300002	1.4795070549300002	-0.04913902	-0.04751234	0.4509975	21.75143814	19.94315529	19.34661484	19.01540947	1.3654967064285202	1.8164040775817203	1.6778726692989903	1.6778726692989903	0.5090639072300001	0.8946197664100001	0.80889713613	0.80889713613	0.4509975	-0.04867129	-0.01747339	23.72810745	22.05624008	20.58361626	20.00644302	1.0
23.25794983	21.09550476	19.91315651	19.43631172	0.5331040368925601	0.78188557778974	1.4579140409165603	1.4579140409165603	0.6502302144900001	0.8392751326000001	1.80839048798	1.80839048798	-0.01181591	0.09356943	0.68758875	22.88792992	21.11504936	20.01874924	19.53502655	0.7175843108885501	0.8632369381720701	1.0008365293544002	1.0008365293544002	0.55191108349	1.0344975972200001	1.6344665339500002	1.6344665339500002	0.68758875	-0.02351875	0.08280223	99.0	21.62008667	21.44512367	23.25412941	1.0
22.42680359	20.46915627	19.73854065	19.37952805	0.46248110866270004	0.6285836836007	0.5860962829641501	0.5860962829641501	0.5696421069100001	0.52506345174	0.52570695225	0.52570695225	-0.32387547	0.04533934	0.47022805	21.97377014	20.03877258	19.30495644	18.93541908	1.0856338194560402	1.60110994510047	1.7502604826068002	1.7502604826068002	0.44826411427	0.85566165531	1.01456214988	1.01456214988	0.47022805	-0.06850352	0.24192048	20.85617638	19.40485001	18.48932838	18.07926369	1.0
22.10207176	20.16589355	19.48669815	19.12189674	0.57836317493035	0.9445778761694801	1.3913751852246603	1.3913751852246603	0.7772468719000001	1.03798036946	1.75865724584	1.75865724584	-0.0676664	-0.06892617	0.45445636	21.63936424	19.7361393	19.02768326	18.61159515	0.8278064411250401	1.1869640402596202	1.1720751480923504	1.1720751480923504	0.59995407723	1.05227188414	1.0136025260000001	1.0136025260000001	0.45445636	0.1052997	0.09508863	24.62959671	23.8046875	22.05785751	21.54716873	1.0
21.8460598	19.95188141	19.25936699	18.84028625	1.09525298973889	1.9439143685469302	1.2883579830044503	1.2883579830044503	0.9075020692300001	1.89781140585	1.47164534058	1.47164534058	-0.07127879	-0.06476628	0.4606318	22.58728981	20.82434082	20.10262108	19.73796082	0.71253886879494	0.5382949310178201	0.57595632129636	0.57595632129636	0.54172204532	0.5979463562699999	0.6957029670900001	0.6957029670900001	0.4606318	0.0243917	0.02981121	22.61100578	22.20610046	22.10470772	21.93353653	1.0
20.61745453	18.97480965	18.4074707	18.07711792	1.1776502206774102	1.8654969856054802	2.3885978383776103	2.3885978383776103	1.01110539886	1.8580700597100002	2.31508026528	2.31508026528	-0.02937074	-0.13460128	0.32564044	20.6918335	19.01686478	18.45257187	18.11706161	1.6589501675294003	2.9399505803683703	2.4625521815137605	2.4625521815137605	1.4711852194500001	2.1515006035799997	2.22284179948	2.22284179948	0.32564044	-0.02246651	0.08927553	24.03106308	22.5143795	21.10170174	20.45009422	1.0
22.20538521	20.53977966	19.78331375	19.36275482	1.46440443932904	4.17178460072967	1.1506891294439703	1.1506891294439703	0.78309471635	3.29525850263	1.88235823595	1.88235823595	-0.04203178	0.04613648	0.5319207	22.44698143	20.56674767	19.64922333	19.24037361	1.1476135914193801	1.72635804247829	1.7252677778745202	1.7252677778745202	0.6346758369300001	1.6794248638100002	1.68407700506	1.68407700506	0.5319207	0.22293406	0.01756325	23.4655838	22.12587929	20.95859909	20.49135208	1.0
22.70140076	20.64223099	19.49634552	19.03948402	0.6725404482211501	1.8170973667690002	1.3935054493199	1.3935054493199	0.52577771503	1.40162318699	1.1744027668800001	1.1744027668800001	-0.02519226	0.02391922	0.70467913	23.02970123	21.12604904	20.0645237	19.65627098	0.7579941528244801	1.0916738114746003	1.03769819664691	1.03769819664691	0.39676161064000004	0.69079969503	0.67795005944	0.67795005944	0.70467913	0.01820477	0.15938647	19.8646965	19.68450737	19.54447746	19.33431625	1.0
22.38480377	20.54316521	19.775383	19.3996315	0.7326943826920501	0.6958582436023701	0.7547962506887501	0.7547962506887501	0.45215979388000005	0.5642297404900001	0.85463387235	0.85463387235	0.02922373	-0.12185906	0.5330111	22.50611687	20.54092789	19.77365685	19.40360832	0.8615542445417501	1.4118920538866402	1.3797925760992202	1.3797925760992202	1.58705346729	1.72525916777	2.0120030734	2.0120030734	0.5330111	-0.03032987	0.06614995	18.99848366	17.97181702	17.62671661	17.43777466	1.0
