CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-g	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-r	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-i	CONFIGURATION_15-PLANE_1-OBJECT_2-magnitude-z	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-g	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-r	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-i	CONFIGURATION_15-PLANE_1-OBJECT_4-magnitude-z	WEIGHT
20.19787598	18.86055946	18.13111687	17.80870438	20.29751587	18.95408821	17.83067131	17.34821892	1.0
23.95947456	22.74958611	22.39638329	22.17984581	19.07131577	17.76382828	17.30113029	17.03525543	1.0
23.09851646	21.65788841	20.96390343	20.64344215	19.54776955	18.22818565	17.68579483	17.4427681	1.0
23.68339157	22.72278786	22.36045074	22.26362991	23.23851395	22.93012619	22.79595757	22.9575634	1.0
23.4690361	23.11205292	22.81435204	22.55530548	21.17114639	20.81067848	20.72278786	20.64720726	1.0
22.79620743	22.06256866	21.72807884	21.53146362	25.83619881	24.55127335	22.64575577	21.83415413	1.0
18.63368988	18.07526016	17.91054535	17.83713913	23.07427979	22.63635635	22.61260986	22.11683846	1.0
22.06119537	21.2191906	20.85374069	20.38074303	24.95302582	23.99765778	22.47373772	21.74537849	1.0
22.15703583	20.8174057	20.29017448	20.0300312	26.75895309	24.41178513	22.66844177	21.95602608	1.0
21.04295158	19.51019669	18.03027153	17.3958416	23.14930153	22.03747749	21.2842598	20.93463326	1.0
19.31805038	17.85724449	16.6548481	16.15119362	22.74842453	21.44446754	20.84447479	20.63746071	1.0
19.04785728	18.47663307	18.27838516	18.19647789	24.56904984	23.28099632	22.09234238	21.64712715	1.0
25.82468033	23.7516613	21.95938301	21.22057152	22.85776711	21.38378525	20.18544388	19.66139984	1.0
22.12412643	20.61418724	19.63896751	19.23556519	23.12176132	21.63719368	20.36920357	19.83263588	1.0
23.87979698	22.66772461	22.14402199	21.89981651	25.8331604	23.78440094	22.09409142	21.399786	1.0
22.23417664	21.17657471	20.46540642	20.05752182	19.25995445	18.25233841	17.9186821	17.76612473	1.0
19.11766624	17.71291924	16.94078255	16.59360504	18.84489441	18.13458061	17.90561676	17.78884697	1.0
23.99172783	22.49187088	21.39458466	20.92728806	21.25821114	19.77324486	18.53434944	18.00973892	1.0
18.36015511	17.85574532	17.69011879	17.61901474	22.73070717	21.33722305	20.51578903	20.14674568	1.0
22.88316917	21.79292679	20.8673439	20.43963814	22.56170654	22.24792862	21.97374916	21.92614937	1.0
25.09637833	23.08482361	21.76874161	21.31176376	23.09981346	21.61580849	20.85074615	20.48720551	1.0
20.49185944	19.16361046	18.51010704	18.20521355	25.02765083	23.02924728	22.18859673	21.89093399	1.0
23.0224762	21.76416016	21.25092888	21.06908035	23.85748672	22.44002724	21.13640213	20.54286575	1.0
22.19201279	20.6732254	19.46681786	18.94642258	22.12588692	21.73935509	21.67234421	21.63043976	1.0
22.4122448	21.28609848	20.89256859	20.66456795	23.67303467	22.61845589	22.6511364	22.15559006	1.0
21.94400215	21.27401543	21.13002205	21.01045036	24.00910759	22.41284561	20.88461876	20.26351547	1.0
21.82588768	20.43961906	19.39560509	18.97476196	20.07928085	19.76558113	19.68940735	19.67155266	1.0
23.70456505	22.11621284	20.5828743	19.89354706	22.71840286	22.07987213	21.85658073	21.67508125	1.0
21.77054214	20.4653492	19.95251083	19.70751953	21.92092896	21.27453613	21.0568161	20.93729401	1.0
24.19210243	22.8649292	22.17115402	21.90929794	22.4744339	21.15081406	20.22628021	19.80455017	1.0
20.0126152	19.74974442	19.70904922	19.69100761	20.94753265	20.52350044	20.42387962	20.38433647	1.0
22.87841225	21.26761055	19.82362556	19.18543816	20.87305069	20.75531006	20.73484039	20.74041176	1.0
18.55145073	18.26288795	18.18820572	18.16647339	20.77910233	20.17008209	20.14347839	19.63031769	1.0
22.82465744	21.07832146	19.17556	18.31664658	21.13871193	19.72061729	18.76827621	18.36541557	1.0
22.59856415	21.16484261	19.96456146	19.44446373	23.85827827	22.11535835	20.67694664	20.06523514	1.0
23.98337555	22.48700905	22.02951813	21.74304962	21.30414963	19.92812157	19.17572021	18.82410049	1.0
24.17259216	22.5642662	21.1108036	20.49939156	24.61150169	22.79333878	21.35089874	20.74605942	1.0
22.83113098	21.40483284	20.23859024	19.79546547	22.32999229	20.88870811	19.8133564	19.39160347	1.0
17.70807457	19.31237221	19.32224274	18.49273682	21.5612545	20.10035515	18.94428635	18.44389153	1.0
21.97483444	22.00311852	21.84290886	21.58685684	21.92442322	21.17018509	20.92573357	20.82953644	1.0
20.07799339	18.61979485	17.34188652	16.7879467	24.77568436	23.14688873	21.77037239	21.19265366	1.0
99.0	24.52505875	22.43585396	21.60721397	21.25990677	21.09463882	21.07681274	21.18852806	1.0
20.78305626	19.40948677	18.4329586	18.00960732	24.51105499	23.41954422	22.87092781	22.53753471	1.0
22.70604134	21.62611198	21.23699951	21.05373001	23.21584702	22.13638115	21.87144852	21.64490891	1.0
18.28104973	17.70188713	17.53569603	17.44906425	23.20029831	22.08893013	21.68566322	21.46369171	1.0
21.43880272	20.79001045	20.60041618	20.47356033	25.47953415	23.67570877	22.19790268	21.75303459	1.0
23.55753326	22.81906128	22.73195457	22.5514698	20.73099518	19.21709442	17.67804337	16.98848724	1.0
21.36486626	20.7804451	20.60006142	20.50590515	22.38990402	21.79728317	21.63507652	21.57380486	1.0
20.62366295	19.53115845	19.14331055	18.93165016	24.60630226	22.8673687	21.81419563	21.36008835	1.0
20.64349747	19.26401711	18.69140244	18.41935921	22.45134544	21.07354355	20.05016708	19.642416	1.0
23.22885895	22.87732124	22.92406464	22.75808716	21.35210609	21.10634422	21.05491066	21.09631348	1.0
17.17800331	16.76984978	16.64307404	16.59307289	22.07439423	20.6135273	19.27457237	18.6986599	1.0
22.24160576	20.88911438	19.66520309	19.1670723	24.09190941	22.5240097	21.47293091	21.01880646	1.0
23.29763412	21.97139168	21.48766708	21.1165657	21.12122154	20.47706413	20.26825142	20.13485336	1.0
23.68924522	22.93241882	22.76614571	22.48558044	21.59201431	20.69261742	20.41364479	20.21173477	1.0
23.74126816	22.16689491	20.51999855	19.8456192	23.41518402	22.30325127	21.92021561	21.67897415	1.0
21.16619301	20.64459229	20.49438858	20.37120628	19.07371521	18.76473808	18.69340897	18.68383026	1.0
25.31079483	23.17307663	21.49995804	20.73402405	21.35409164	19.93754196	19.08649826	18.7015686	1.0
20.81617737	19.32438469	18.22061729	17.75117874	24.97197723	23.7846756	22.701931	22.12984085	1.0
21.74133873	20.52064705	20.0182972	19.76449394	20.45513535	19.00976944	17.99243736	17.55254173	1.0
19.12842369	17.76868629	17.17614937	16.90232468	23.3950367	22.23200226	20.73656845	20.15913773	1.0
24.86478043	22.68587303	21.90075874	21.563797	22.76027489	21.95298195	21.72277069	21.54364204	1.0
23.50337219	22.1976223	21.64200592	21.25397682	22.60778427	20.94379807	19.2833004	18.52737045	1.0
22.4664669	21.35467529	20.95564842	20.76027298	99.0	24.37717819	22.15266418	21.2972908	1.0
20.45292473	20.2102623	20.150877	20.15001869	19.75636482	18.60746574	18.13388824	17.89235687	1.0
18.08600616	17.59692001	17.42991638	17.37627792	19.62379074	19.34581375	19.27197647	19.26426506	1.0
24.28331184	22.74721909	21.40802002	20.73690033	22.23627663	21.66034317	21.47372055	21.43469429	1.0
