CONFIGURATION_2-PLANE_1-OBJECT_1-REDSHIFT	CONFIGURATION_2-PLANE_1-OBJECT_1-LIGHT_PROFILE_1-magnitude-i	CONFIGURATION_2-PLANE_1-OBJECT_1-MASS_PROFILE_1-sigma_v	CONFIGURATION_2-PLANE_1-OBJECT_3-REDSHIFT	CONFIGURATION_2-PLANE_1-OBJECT_3-LIGHT_PROFILE_1-magnitude-i	WEIGHT
0.5497874	21.27445984	1265.3729	0.5497874	21.18147659	1.0
0.4479677	21.7274189	1248.77325	0.4479677	20.54007339	1.0
0.22455911	19.73822212	919.1298	0.22455911	18.31062698	1.0
0.43354198	21.76270866	1014.70635	0.43354198	20.02891541	1.0
0.48029235	20.27482796	1181.66085	0.48029235	21.27791595	1.0
0.31956288	18.52150154	947.6129000000001	0.31956288	20.25547791	1.0
0.5234861	19.95730209	1735.7878	0.5234861	19.17512703	1.0
0.4567168	20.28139496	898.63625	0.4567168	20.76476288	1.0
0.21875292	19.01554108	1141.04195	0.21875292	20.30507278	1.0
0.60502267	21.288414	1160.27115	0.60502267	20.90715599	1.0
0.4101075	20.20536995	1257.06675	0.4101075	22.38903618	1.0
0.29345018	18.54013824	1091.3198	0.29345018	19.7308979	1.0
0.46471077	19.81527901	1414.536	0.46471077	20.1887989	1.0
0.5767436	20.70533562	1044.4360000000001	0.5767436	21.24439621	1.0
0.4606504	19.42793083	949.54215	0.4606504	21.47324181	1.0
0.49762136	21.61263084	1293.3464000000001	0.49762136	21.15442657	1.0
0.12209177	18.6411953	977.79455	0.12209177	18.50465584	1.0
0.6076624	20.5038681	1531.41235	0.6076624	20.70533562	1.0
0.42774367	21.08571053	1751.701	0.42774367	20.59216118	1.0
0.49838167	20.16751671	1785.3152499999999	0.49838167	19.76783943	1.0
0.46852753	21.51167488	889.6467	0.46852753	20.59037971	1.0
0.51444525	21.42841339	1147.5978	0.51444525	22.64162636	1.0
0.51522726	20.85756874	1080.9446	0.51522726	19.70845985	1.0
0.4944688	20.86755943	1124.3869	0.4944688	21.20718002	1.0
0.27964607	19.34985542	1231.81665	0.27964607	18.30070496	1.0
0.3014082	19.66842079	919.4941	0.3014082	19.28376389	1.0
0.3491744	19.71832085	1330.375	0.3491744	20.34718513	1.0
0.32769322	22.81681633	1047.6006499999999	0.32769322	20.01448631	1.0
0.55368155	19.32285118	1157.18895	0.55368155	20.06819916	1.0
0.39409152	21.81718636	1005.49445	0.39409152	21.02120972	1.0
0.52590036	19.54225159	1369.1577000000002	0.52590036	19.475811	1.0
0.43124676	20.67349243	1079.5398500000001	0.43124676	21.04933929	1.0
